ALLOT_NAME,ALLOT_NO,BLMDATA,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_C,ST_ALLOT,GlobalID,SHAPE_Leng,SHAPE_Area,FID,OBJECTID
Dougal FFR,456,1,3966.418617,ID,B03000,IDB03000,ID00456,{00481B31-6F7D-4294-BB6F-47D3909BECB9},28880.18527,16051590.41,200,278907
Mckay FFR,457,1,1085.038293,ID,B03000,IDB03000,ID00457,{DEB1B4BC-5311-4D03-9250-EAB129660E67},11067.65831,4391011.627,201,278908
Josephine FFR,458,1,2864.448308,ID,B03000,IDB03000,ID00458,{603ABEA5-496E-4DD8-8FC4-3BFEFB046E9D},24954.17564,11592057.08,202,278909
Munro FFR,461,1,585.1131055,ID,B03000,IDB03000,ID00461,{911EE466-0606-4B72-9505-704A4A1D0DA8},7837.73627,2367878.134,203,278910
Chimney Pot FFR,464,1,1282.317518,ID,B03000,IDB03000,ID00464,{A861C679-0F7F-45FB-8518-0C42B2726E39},10920.93819,5189375.494,205,278912
Gluch FFR,466,1,3204.426568,ID,B03000,IDB03000,ID00466,{6C46536D-B197-4F23-8FA6-C927123BCD6E},23150.26936,12967905.74,207,278914
Lequerica FFR,473,1,962.7646463,ID,B03000,IDB03000,ID00473,{D926EDAC-4DBA-4032-9248-23EA91CA6CD9},9307.437987,3896185.767,209,278916
Lowry FFR,477,1,265.9980582,ID,B03000,IDB03000,ID00477,{EFC57093-3C2C-4B9D-B910-6FCDCB77FD08},7385.568848,1076460.226,210,278917
Murphy FFR,486,1,306.1119519,ID,B03000,IDB03000,ID00486,{F3EF1A0B-33EA-4F93-A26E-402DC79BF692},6713.860718,1238796.039,212,278919
Joyce FFR,487,1,6000.636301,ID,B03000,IDB03000,ID00487,{8DFCEBD0-E72C-4084-9F39-E6FE108FA63E},48874.98736,24283810,213,278920
Meadow Creek FFR,491,1,853.9881651,ID,B03000,IDB03000,ID00491,{CAF41ECC-26DA-4239-8811-35BCA5B41D70},8432.680722,3455981.217,214,278921
Morgan,505,1,5469.60132,ID,B03000,IDB03000,ID00505,{D04F018B-6848-40EF-B845-5742CAEE3B00},37904.65321,22134779.15,218,278925
